Nom du festival,Géocodage x,Géocodage y
OPUS POCUS,-21.0445317522, 55.3223334298
Mizik O'Marmay,-21.3123242427, 55.4936155164
Manapany Festival,-21.3063550443, 55.6420686506
Festival du Film Court de Saint-Pierre,-21.3123242427, 55.4936155164
Salon Athena,-21.3123242427, 55.4936155164
Leu Tempo Festival,-21.1665966424, 55.3331335776
Electropicales,-20.9329708192, 55.446867167
Francofolies de La Réunion,-21.0445317522, 55.3223334298
Festival MEME PAS PEUR, le Festival International du Film Fantastique de La Réunion,-21.3040005374, 55.7454668204
Rock à la Buse,-20.9329708192, 55.446867167
Geek Ali,-20.9329708192, 55.446867167
Détak Baro,-21.1104753596, 55.3297522865
Big Up 974,-20.9329708192, 55.446867167
Festival du film d’Aventure,-21.0445317522, 55.3223334298
La Fête du Court Métrage à La Réunion,-20.9329708192, 55.446867167
Festival du Film de Femmes,-21.0445317522, 55.3223334298
Festival du Film Italien,-20.9329708192, 55.446867167
Parole sud,-21.3063550443, 55.6420686506
Zétinsèl,-21.2042397201, 55.4922992792
Toto Total,-20.9329708192, 55.446867167
Komidi,-21.3063550443, 55.6420686506
Alon Zanfan !,-21.1665966424, 55.3331335776
7 Soleils 7 Lunes,-21.0445317522, 55.3223334298
Festival International d'Improvisation de La Réunion - FERIIR,-21.0445317522, 55.3223334298
TAM-TAM,-21.0445317522, 55.3223334298
La Bèl Parol,-21.223274585, 55.5584875266
Réunion Graffiti,-20.9329708192, 55.446867167
Total Danse,-20.9329708192, 55.446867167
Embarquement Immediat,-21.1665966424, 55.3331335776
Graffiti 974 Jam,-21.2339268494, 55.4213388686
Ecran jeunes - Festival internatinal du film de Saint-Pierre,-21.3123242427, 55.4936155164
Sakifo Musik Festival,-21.3123242427, 55.4936155164
Cinémarmailles,-20.9329708192, 55.446867167
Festival du film chinois,-20.9329708192, 55.446867167
Court derrière,-20.9329708192, 55.446867167
Festival du Film Militant de la Réunion,-21.1665966424, 55.3331335776
Kabar Lire,-20.9329708192, 55.446867167
Circonvergence,-20.9329708192, 55.446867167
Cyclone BD,-20.9329708192, 55.446867167
Salon du livre jeunesse de l'Océan Indien,-21.1665966424, 55.3331335776
Réunion Métis,-21.3123242427, 55.4936155164
